[SETTINGS]
start	1
width	320
height	240

#id	type	file
# type: 0: intro, 1: play scene 
[SCENES]
0	intro.txt
1	scene01.txt
2	scene02.txt
5	scene0005.txt

# id	file 
[TEXTURES]
-100	textures\bbox.png
0	textures\mario.png
10	textures\enemies.png
15	textures\enemies_2.png
40	textures\enemies_3.png
50	textures\enemies_4.pmg
20	textures\misc.png
90	textures\misc1.png
100	textures\misc2.png
110	textures\effect.png
120	textures\HUD.png
130	textures\Font.png
140	textures\hud_source.png
150	textures\worldmapObj.png
200	Resources\Tilemap\world1-1_bank.png
210	Resources\Tilemap\world1-1-1_bank.png
220	Resources\Tilemap\worldmap_bank.png
